edges_version;edge_disallow;edge_from;edge_id;edge_numLanes;edge_priority;edge_shape;edge_speed;edge_to;edge_type;lane_index;param_key;param_value
1.9;tram rail_urban rail rail_electric rail_fast ship;7438345316;-795276316#1;1;3;4635.85,3573.69 4635.23,3547.54 4633.01,3545.83 4629.90,3545.27 4577.24,3549.34;13.89;7438345313;highway.residential;0;origId;795276316
1.9;tram rail_urban rail rail_electric rail_fast ship;7438345318;-795276317#0;1;3;;13.89;7438345317;highway.residential;0;origId;795276317
1.9;tram rail_urban rail rail_electric rail_fast ship;7631601351;-795276317#1;1;3;4680.54,3538.06 4676.51,3466.23 4678.59,3462.20 4681.83,3459.05 4703.94,3451.31;13.89;7438345318;highway.residential;0;origId;795276317
1.9;tram rail_urban rail rail_electric rail_fast ship;7631601353;-795276317#2;1;3;;13.89;7631601351;highway.residential;0;origId;795276317
1.9;tram rail_urban rail rail_electric rail_fast ship;7438345320;-795276318;1;3;;13.89;7438345319;highway.residential;0;origId;795276318
1.9;tram rail_urban rail rail_electric rail_fast ship;7438345322;-795276319;1;3;;13.89;7438345321;highway.residential;0;origId;795276319
1.9;tram rail_urban rail rail_electric rail_fast ship;7438345324;-795276320;1;3;;13.89;7438345323;highway.residential;0;origId;795276320
1.9;tram rail_urban rail rail_electric rail_fast ship;7438345326;-795276321#0;1;3;;13.89;7438345325;highway.residential;0;origId;795276321
1.9;tram rail_urban rail rail_electric rail_fast ship;7438345327;-795276321#1;1;3;;13.89;7438345326;highway.residential;0;origId;795276321
1.9;tram rail_urban rail rail_electric rail_fast ship;7438744726;-795317202;1;3;;13.89;7438744727;highway.residential;0;origId;795317202
1.9;tram rail_urban rail rail_electric rail_fast ship;310397568;-795536152#1;1;10;4022.21,3165.15 4029.68,3159.30 4036.32,3154.71 4112.49,3144.69 4129.05,3129.95 4143.55,3108.68 4150.54,3104.60 4163.44,3101.36 4240.24,3098.98;22.22;459517957;highway.tertiary;0;origId;795536152
1.9;tram rail_urban rail rail_electric rail_fast ship;7484166873;-800260295#0;1;3;;13.89;7484166871;highway.residential;0;origId;800260295
1.9;tram rail_urban rail rail_electric rail_fast ship;7484166874;-800260296;1;3;;13.89;7484166873;highway.residential;0;origId;800260296
1.9;tram rail_urban rail rail_electric rail_fast ship;7484166877;-800260297;1;3;3156.93,3695.62 3153.25,3695.58 3104.38,3689.00;13.89;cluster_7484166875_7484941118;highway.residential;0;origId;800260297
1.9;tram rail_urban rail rail_electric rail_fast ship;7484374648;-800283585;1;3;;13.89;7484374647;highway.residential;0;origId;800283585
1.9;tram rail_urban rail rail_electric rail_fast ship;7484374660;-800283586;1;3;3469.64,3705.59 3471.46,3652.24 3471.39,3630.23 3468.21,3618.34 3464.85,3609.44 3459.79,3597.81 3456.09,3593.77 3450.07,3591.71 3445.91,3590.95 3440.23,3592.47 3434.45,3595.48 3428.84,3596.88 3371.38,3601.99;13.89;7484374649;highway.residential;0;origId;800283586
1.9;tram rail_urban rail rail_electric rail_fast ship;7484374663;-800283587;1;3;;13.89;7484374662;highway.residential;0;origId;800283587
1.9;tram rail_urban rail rail_electric rail_fast ship;7484941098;-800338310;1;3;3192.08,3645.80 3162.87,3653.31 3153.54,3654.67 3141.89,3653.68 3109.76,3649.60;13.89;7484941094;highway.residential;0;origId;800338310
1.9;tram rail_urban rail rail_electric rail_fast ship;2389189971;-800338311;1;3;3172.61,2916.87 3170.12,2914.18 3166.09,2908.92 3163.81,2903.97 3162.74,2894.12 3161.49,2874.42 3158.69,2834.73 3156.45,2826.60 3152.13,2821.64 3141.99,2816.33;13.89;7484941099;highway.residential;0;origId;800338311
1.9;tram rail_urban rail rail_electric rail_fast ship;7484941116;-800338313;1;3;3284.62,3396.76 3278.76,3385.95 3273.60,3379.97 3266.54,3377.68 3204.64,3376.64;13.89;7484941112;highway.residential;0;origId;800338313
1.9;tram rail_urban rail rail_electric rail_fast ship;cluster_7484166875_7484941118;-800338314;1;3;3101.74,3700.45 3032.92,3677.60;13.89;7484941117;highway.residential;0;origId;800338314
